ID,age,education,gender,hours-per-week
0,40,9,1,40
1,28,13,1,48
2,49,10,1,30
3,32,9,0,40
4,33,9,0,40
5,52,9,0,40
6,41,10,0,60
7,31,10,0,48
8,40,12,0,40
9,56,9,1,40
10,67,14,0,60
11,31,13,0,48
12,54,10,1,40
13,19,7,1,15
14,19,10,0,10
15,73,14,0,10
16,40,9,1,12
17,22,12,1,40
18,77,4,0,20
19,40,9,1,35
20,56,9,0,35
21,30,8,0,50
22,41,3,0,40
23,33,12,0,50
24,58,9,0,40
25,47,9,0,50
26,42,9,1,24
27,51,13,0,40
28,23,9,1,40
29,37,13,0,40
30,31,13,0,45
31,26,10,0,42
32,35,14,0,50
33,44,9,1,38
34,28,4,0,84
35,21,10,1,15
36,25,10,1,40
37,35,13,0,50
38,41,9,0,40
39,29,9,0,40
40,36,9,0,45
41,25,5,0,15
42,19,10,0,35
43,32,10,0,44
44,59,13,0,40
45,57,10,0,48
46,31,7,1,40
47,24,13,1,40
48,47,13,0,60
49,59,14,0,45
50,36,14,0,45
51,37,9,0,40
52,30,13,1,40
53,38,13,0,40
54,25,10,1,50
55,83,9,0,55
56,31,10,0,45
57,35,13,1,8
58,24,9,0,40
59,20,9,1,40
60,24,10,1,50
61,22,9,0,40
62,30,10,0,45
63,23,9,0,40
64,70,10,0,30
65,34,10,0,40
66,39,14,0,40
67,22,13,0,40
68,44,9,1,40
69,27,9,0,40
70,49,10,0,40
71,22,3,0,40
72,54,9,0,40
73,28,10,0,43
74,60,9,0,48
75,43,13,0,50
76,25,9,0,40
77,40,10,1,40
78,46,9,1,40
79,48,9,0,98
80,47,9,0,40
81,58,8,0,40
82,32,6,0,40
83,20,10,1,20
84,24,9,1,50
85,38,9,0,60
86,30,7,0,40
87,33,9,0,35
88,43,9,1,36
89,25,4,1,32
90,70,9,1,23
91,29,12,1,50
92,25,7,0,40
93,46,14,0,60
94,58,10,0,35
95,66,6,1,40
96,21,12,0,55
97,45,12,0,40
98,31,9,1,35
99,56,5,0,40
100,22,10,0,50
101,33,7,0,60
102,57,6,0,8
103,27,10,0,80
104,45,10,0,60
105,29,5,0,40
106,60,9,0,40
107,20,9,0,40
108,54,9,0,40
109,28,9,1,40
110,31,10,0,65
111,37,7,0,60
112,39,9,0,40
113,26,13,1,50
114,25,11,0,45
115,60,13,0,35
116,38,10,0,40
117,22,10,0,32
118,48,9,1,35
119,25,13,0,45
120,46,13,1,32
121,36,10,0,55
122,54,9,0,40
123,41,10,0,60
124,52,12,0,48
125,19,7,0,40
126,28,9,0,30
127,41,9,1,40
128,35,9,1,40
129,24,10,1,44
130,26,10,0,50
131,28,9,0,50
132,49,14,0,50
133,37,15,0,50
134,27,12,1,35
135,55,13,0,40
136,33,10,0,40
137,28,13,1,45
138,51,10,0,40
139,35,10,0,40
140,65,10,1,40
141,37,10,0,40
142,23,13,0,50
143,28,9,0,40
144,27,10,1,65
145,47,9,1,20
146,18,6,0,36
147,53,13,1,20
148,40,9,1,40
149,26,10,1,20
150,37,10,0,50
151,29,13,0,50
152,44,10,0,45
153,41,10,0,46
154,65,10,0,10
155,50,10,1,38
156,29,10,1,40
157,20,4,1,60
158,33,6,0,40
159,41,9,0,40
160,21,11,1,40
161,24,13,1,40
162,22,9,1,40
163,21,10,1,30
164,35,13,1,40
165,36,9,0,40
166,49,4,0,40
167,31,15,0,50
168,50,9,0,40
169,35,9,1,35
170,41,9,0,40
171,53,11,0,40
172,53,3,0,40
173,26,13,1,40
174,50,7,1,40
175,63,4,0,30
176,30,10,1,16
177,33,14,0,40
178,21,9,1,30
179,43,9,1,40
180,50,13,0,55
181,23,13,1,60
182,28,9,0,40
183,18,6,1,30
184,20,9,0,40
185,32,9,0,40
