age,education,gender,hours-per-week,earning
39,13,0,40, <=50K
50,13,0,13, <=50K
38,9,0,40, <=50K
53,7,0,40, <=50K
28,13,1,40, <=50K
37,14,1,40, <=50K
49,5,1,16, <=50K
52,9,0,45, >50K
31,14,1,50, >50K
42,13,0,40, >50K
37,10,0,80, >50K
30,13,0,40, >50K
23,13,1,30, <=50K
32,12,0,50, <=50K
40,11,0,40, >50K
34,4,0,45, <=50K
25,9,0,35, <=50K
32,9,0,40, <=50K
38,7,0,50, <=50K
43,14,1,45, >50K
40,16,0,60, >50K
54,9,1,20, <=50K
35,5,0,40, <=50K
43,7,0,40, <=50K
59,9,1,40, <=50K
56,13,0,40, >50K
19,9,0,40, <=50K
54,10,0,60, >50K
39,9,0,80, <=50K
49,9,0,40, <=50K
23,12,0,52, <=50K
20,10,0,44, <=50K
45,13,0,40, <=50K
30,10,0,40, <=50K
22,10,0,15, <=50K
48,7,0,40, <=50K
21,10,0,40, <=50K
19,9,1,25, <=50K
31,10,0,38, >50K
48,12,0,40, <=50K
31,5,0,43, <=50K
53,13,0,40, <=50K
24,13,0,50, <=50K
49,9,1,40, <=50K
25,9,0,35, <=50K
57,13,0,40, >50K
53,9,0,38, <=50K
44,14,1,40, <=50K
41,11,0,40, <=50K
29,11,0,43, <=50K
25,10,1,40, <=50K
18,9,1,30, <=50K
47,15,1,60, >50K
50,13,0,55, >50K
47,9,0,60, <=50K
43,10,0,40, >50K
46,3,0,40, <=50K
35,11,0,40, <=50K
41,9,0,48, <=50K
30,9,0,40, <=50K
30,13,0,40, <=50K
32,4,0,40, <=50K
48,9,0,40, <=50K
42,16,0,45, >50K
29,10,0,58, <=50K
36,9,0,40, <=50K
28,10,1,40, <=50K
53,9,1,40, >50K
49,10,0,50, >50K
25,10,0,40, <=50K
19,10,0,32, <=50K
31,13,1,40, <=50K
29,13,0,70, >50K
23,10,0,40, <=50K
79,10,0,20, <=50K
27,9,0,40, <=50K
40,12,0,40, <=50K
67,6,0,2, <=50K
18,7,1,22, <=50K
31,4,0,40, <=50K
18,9,0,30, <=50K
52,13,0,40, <=50K
46,9,1,40, <=50K
59,9,0,48, <=50K
44,9,1,40, >50K
53,9,1,35, <=50K
49,9,0,40, >50K
33,14,0,50, <=50K
30,5,0,40, <=50K
43,16,1,50, >50K
57,11,0,40, <=50K
37,10,1,40, <=50K
28,10,1,25, <=50K
30,9,1,35, <=50K
34,13,0,40, >50K
29,10,0,50, <=50K
48,16,0,60, >50K
37,10,0,48, >50K
48,12,1,40, <=50K
32,9,0,40, <=50K
76,14,0,40, >50K
44,13,0,60, >50K
47,14,1,50, <=50K
20,10,1,40, <=50K
29,9,0,40, <=50K
32,9,0,40, >50K
17,6,1,32, <=50K
30,7,0,40, <=50K
31,9,1,40, <=50K
42,9,0,40, <=50K
24,13,0,40, <=50K
38,15,0,40, >50K
56,9,0,50, >50K
28,10,1,25, <=50K
36,9,1,40, <=50K
53,5,0,50, <=50K
56,10,0,50, <=50K
49,11,0,40, >50K
55,10,0,56, <=50K
22,9,0,41, <=50K
21,10,1,40, <=50K
40,13,0,60, <=50K
30,13,0,40, <=50K
29,13,0,50, >50K
19,10,0,35, <=50K
47,13,1,40, >50K
20,10,1,28, <=50K
31,12,0,40, >50K
35,9,0,40, <=50K
39,10,0,40, <=50K
28,12,1,60, <=50K
24,9,1,40, <=50K
38,9,0,35, <=50K
37,13,0,50, <=50K
46,12,1,36, <=50K
38,14,0,40, >50K
43,9,0,60, <=50K
27,11,1,35, <=50K
20,10,0,20, <=50K
49,10,0,40, >50K
61,9,0,40, <=50K
27,10,1,40, <=50K
19,10,0,30, <=50K
45,11,1,40, >50K
70,10,0,40, <=50K
31,9,1,30, <=50K
22,10,0,24, <=50K
36,9,1,24, <=50K
64,7,0,40, <=50K
43,10,1,40, <=50K
47,10,1,38, <=50K
34,9,1,40, <=50K
33,13,1,40, <=50K
21,9,0,35, <=50K
52,9,0,45, >50K
48,9,0,46, <=50K
23,13,0,40, <=50K
71,10,0,2, <=50K
29,9,0,60, <=50K
42,13,0,50, <=50K
68,2,1,20, <=50K
25,9,1,40, <=50K
44,14,1,40, <=50K
28,9,1,40, <=50K
45,14,0,40, >50K
36,10,1,40, <=50K
39,12,0,42, <=50K
46,14,0,40, <=50K
18,7,0,16, <=50K
66,11,1,20, <=50K
27,9,0,40, <=50K
28,9,0,40, <=50K
51,10,0,40, >50K
27,13,0,50, <=50K
28,13,0,40, >50K
27,9,1,25, <=50K
21,9,0,40, <=50K
34,9,0,40, <=50K
18,9,0,12, <=50K
33,13,0,65, <=50K
44,10,0,38, >50K
43,10,1,40, <=50K
30,10,0,45, <=50K
40,4,0,40, >50K
37,10,0,42, >50K
34,9,0,40, <=50K
41,13,1,40, <=50K
53,13,1,50, <=50K
31,14,1,50, <=50K
58,16,0,1, >50K
38,10,1,28, <=50K
24,10,0,40, <=50K
41,13,0,40, <=50K
47,10,0,45, <=50K
41,13,0,24, <=50K
23,3,0,40, <=50K
36,10,0,40, <=50K
40,14,1,55, >50K
35,14,0,40, >50K
24,9,0,40, <=50K
26,14,1,40, <=50K
19,9,0,40, <=50K
51,13,0,50, >50K
42,10,1,40, <=50K
37,9,1,35, <=50K
18,7,1,40, <=50K
36,13,0,36, >50K
35,9,0,60, <=50K
58,9,1,35, >50K
17,7,1,12, <=50K
44,9,0,40, <=50K
37,9,0,40, >50K
35,10,1,40, <=50K
60,9,0,40, <=50K
54,4,0,40, >50K
37,13,0,60, >50K
50,12,1,40, <=50K
38,13,0,50, <=50K
45,13,0,55, <=50K
25,6,0,40, <=50K
31,10,0,40, <=50K
64,2,0,40, <=50K
90,9,0,40, <=50K
54,9,0,20, <=50K
53,1,1,35, <=50K
18,9,1,40, <=50K
60,6,1,10, <=50K
66,9,0,50, <=50K
75,11,1,20, <=50K
65,9,1,40, <=50K
35,7,0,40, <=50K
41,9,1,38, <=50K
25,10,0,42, <=50K
33,10,1,40, <=50K
28,15,0,55, >50K
59,9,0,40, <=50K
40,10,1,38, <=50K
41,13,0,50, >50K
38,14,0,70, >50K
23,9,0,40, <=50K
40,13,0,40, >50K
41,9,1,20, <=50K
24,12,0,50, <=50K
20,10,0,20, <=50K
38,10,0,40, <=50K
56,9,0,35, <=50K
58,9,0,45, >50K
32,9,1,34, <=50K
40,12,0,60, >50K
45,9,0,40, <=50K
41,15,1,40, >50K
42,13,1,40, <=50K
59,6,1,30, <=50K
19,10,0,40, <=50K
58,10,0,20, <=50K
42,9,0,40, >50K
20,9,1,40, <=50K
32,9,1,30, <=50K
45,11,1,45, <=50K
50,4,0,40, <=50K
36,13,1,40, <=50K
45,9,0,60, <=50K
17,7,0,12, <=50K
59,10,0,40, <=50K
26,7,0,40, <=50K
37,10,0,75, >50K
19,10,0,24, <=50K
64,9,0,40, >50K
33,13,1,45, <=50K
33,9,1,40, >50K
61,9,0,40, >50K
17,5,0,24, <=50K
50,14,0,98, <=50K
27,14,0,35, <=50K
30,9,1,40, <=50K
43,9,0,40, <=50K
44,10,0,40, >50K
35,10,1,40, <=50K
25,10,1,40, <=50K
24,10,1,48, >50K
22,13,1,15, <=50K
42,10,0,40, >50K
34,12,1,45, <=50K
60,13,1,42, <=50K
21,9,0,40, <=50K
57,14,0,40, >50K
41,15,0,60, >50K
50,10,0,45, <=50K
25,13,1,40, <=50K
50,4,0,40, <=50K
36,13,0,45, <=50K
31,9,1,40, <=50K
29,13,0,56, <=50K
21,10,0,45, <=50K
27,13,1,40, <=50K
65,9,0,16, <=50K
37,13,1,60, <=50K
39,14,1,40, <=50K
24,9,0,40, <=50K
38,9,0,80, <=50K
48,13,0,40, >50K
21,10,1,25, <=50K
31,9,0,45, >50K
55,9,0,40, >50K
24,10,1,40, <=50K
43,9,1,40, <=50K
26,12,0,45, <=50K
46,12,1,33, <=50K
35,12,0,40, >50K
41,10,0,54, >50K
26,13,0,40, <=50K
34,14,0,35, >50K
19,10,1,25, <=50K
36,13,1,40, >50K
22,10,0,15, <=50K
24,10,0,40, <=50K
77,10,0,40, <=50K
22,3,1,40, <=50K
29,10,1,40, <=50K
62,9,1,24, <=50K
39,9,0,40, <=50K
43,10,0,50, <=50K
35,9,0,45, <=50K
29,7,1,40, <=50K
76,14,0,10, <=50K
63,9,0,45, <=50K
23,11,1,15, <=50K
43,10,1,50, >50K
58,9,0,40, <=50K
66,9,0,55, <=50K
41,10,0,45, <=50K
26,13,0,40, <=50K
47,11,0,40, <=50K
55,6,0,40, <=50K
53,9,0,40, <=50K
17,3,0,48, <=50K
30,9,0,40, <=50K
49,14,0,60, <=50K
19,9,0,30, <=50K
45,9,0,40, <=50K
26,12,0,40, <=50K
38,11,0,40, >50K
36,9,0,40, >50K
33,9,0,20, <=50K
22,10,1,40, <=50K
43,13,0,42, <=50K
67,7,0,8, <=50K
30,11,1,40, <=50K
56,12,0,25, <=50K
31,13,0,25, <=50K
33,13,0,40, >50K
26,9,0,40, <=50K
33,13,0,40, >50K
46,7,0,30, <=50K
59,13,0,40, >50K
38,9,0,40, >50K
65,7,0,40, <=50K
40,11,0,40, >50K
42,9,1,35, <=50K
26,5,0,40, <=50K
36,6,1,24, <=50K
62,14,0,40, >50K
43,13,0,45, <=50K
43,13,0,45, >50K
22,9,0,55, <=50K
28,9,0,40, <=50K
56,10,0,45, <=50K
22,12,1,15, <=50K
57,13,1,45, >50K
39,9,1,40, <=50K
26,10,1,15, <=50K
17,7,0,10, <=50K
40,11,0,38, >50K
45,9,0,40, <=50K
44,9,0,40, <=50K
20,10,1,10, <=50K
33,9,1,40, <=50K
23,10,0,40, <=50K
46,14,0,30, <=50K
38,9,0,50, <=50K
54,9,0,40, <=50K
46,3,1,45, <=50K
25,10,0,40, <=50K
46,10,1,40, <=50K
36,10,1,40, <=50K
23,9,1,25, <=50K
29,9,0,40, <=50K
44,10,1,6, >50K
19,10,1,16, <=50K
19,9,1,40, <=50K
35,9,1,40, >50K
27,13,0,50, <=50K
46,12,0,40, <=50K
34,13,0,45, >50K
34,9,1,35, <=50K
44,10,0,40, <=50K
45,10,1,40, <=50K
20,9,1,35, <=50K
25,13,0,55, >50K
52,13,0,50, >50K
20,10,0,40, <=50K
28,10,1,40, <=50K
50,13,0,40, >50K
34,11,1,64, <=50K
28,4,0,40, <=50K
41,14,0,65, >50K
28,9,0,40, <=50K
46,9,0,25, <=50K
28,10,1,40, >50K
32,10,0,50, <=50K
41,10,1,24, <=50K
24,9,1,40, <=50K
33,10,1,40, <=50K
46,16,0,60, >50K
31,10,0,40, <=50K
35,8,0,50, >50K
52,2,0,40, <=50K
30,7,1,19, <=50K
34,7,0,40, <=50K
34,9,1,40, <=50K
20,10,0,30, <=50K
17,7,0,18, <=50K
32,13,1,40, >50K
29,9,0,40, <=50K
33,6,1,35, <=50K
25,9,0,60, <=50K
36,14,0,40, <=50K
23,9,0,72, <=50K
63,9,0,40, >50K
47,14,0,40, <=50K
80,9,0,24, <=50K
17,7,0,40, <=50K
40,13,1,40, <=50K
30,12,1,25, >50K
27,10,0,40, <=50K
33,14,0,50, >50K
34,9,0,60, <=50K
34,10,1,40, <=50K
23,10,0,40, <=50K
42,10,1,40, <=50K
29,13,0,40, <=50K
45,9,1,28, <=50K
24,9,0,40, <=50K
44,10,0,40, >50K
